Model,Balanced Accuracy,Precision,Recall,F1,ROC-AUC,OOF AP
Logistic Regression,0.705806850846375,0.2050173010380623,0.7821782178217822,0.32488005483207677,0.7718267592888322,0.32504278676812925
Decision Tree,0.6540089694453316,0.4124087591240876,0.37293729372937295,0.39168110918544197,0.6516994038113488,0.20563198447109918
SVM,0.7443894389438943,0.24313326551373346,0.7887788778877888,0.37169517884914466,0.8115771052911742,0.38183870320220714
Random Forest,0.6727436654955818,0.5198237885462555,0.38943894389438943,0.44528301886792454,0.8482367188331736,0.4787454012547395
XGBoost,0.7104193282231448,0.34511434511434513,0.5478547854785478,0.42346938775510207,0.8359489779623124,0.45119552313505873
