Model,Balanced Accuracy Mean,Balanced Accuracy SD,Precision Mean,Precision SD,Recall Mean,Recall SD,F1 Mean,F1 SD,ROC-AUC Mean,ROC-AUC SD,PR-AUC Mean,PR-AUC SD
Logistic Regression,0.7058614010268178,0.03585980735004324,0.20602056840593946,0.01889486964066963,0.7825396825396825,0.10768966873301568,0.32531815149216164,0.02810997581140186,0.7737213014389783,0.03813427989630273,0.3389921988864454,0.06880159781419848
Decision Tree,0.6540566672102759,0.025705313137083217,0.4160528912776553,0.0320225133823454,0.373015873015873,0.06523645384719202,0.38992574279220127,0.029688602973405545,0.6515572935019411,0.023963137144458628,0.20866619104537493,0.011839985143733007
SVM,0.7449312613107741,0.04219060698157259,0.244204699124054,0.028930105700730485,0.7895238095238095,0.08435765022763163,0.3726943302995852,0.041140954669203735,0.8138800598393416,0.03589881718147337,0.40564148236726155,0.08326184307689094
Random Forest,0.6724500264967914,0.0289810436360036,0.5203002337886059,0.06314227057592697,0.38888888888888895,0.05706288495603928,0.4439820875912132,0.05617486093610788,0.8478250422660093,0.010485753782878634,0.48400933373678895,0.03451253802099641
XGBoost,0.710274669970845,0.0210890171375092,0.34511109956683034,0.021503850473716727,0.5477777777777778,0.04931631338038254,0.42304816967723047,0.028691790044776556,0.8375681660506145,0.02286681642807199,0.4726201389219405,0.0592225838176572
