Model,Accuracy Mean,Accuracy SD,Balanced Accuracy Mean,Balanced Accuracy SD,Macro Precision Mean,Macro Precision SD,Macro Recall Mean,Macro Recall SD,Macro F1 Mean,Macro F1 SD,Weighted F1 Mean,Weighted F1 SD
Logistic Regression,0.5383152897392138,0.02408658039456403,0.5203658615704436,0.03609640356397528,0.4904922117667182,0.029223873543485827,0.5203658615704436,0.03609640356397528,0.48686694827958765,0.024557497891376394,0.5250522674818707,0.020388975622870075
Decision Tree,0.5802836361023324,0.03666281561995609,0.5385183723552499,0.040719332783924145,0.5428528894183662,0.03572933730548857,0.5385183723552499,0.040719332783924145,0.5390629065277959,0.038770615611891227,0.5794789871213417,0.03892428073099517
SVM,0.6149420685952816,0.028767334962997233,0.5975535733503077,0.020631959062328332,0.5756140022708591,0.0244735192996838,0.5975535733503077,0.020631959062328332,0.5783172215709185,0.020713984400246202,0.6089919370265706,0.026502551429588673
Random Forest,0.6701587043352997,0.01194510402556919,0.6411035169882022,0.01887399937030858,0.6389666291703119,0.008715760932159134,0.6411035169882022,0.01887399937030858,0.6381201338544845,0.01342115534004333,0.6672525444562205,0.014853549852057309
XGBoost,0.663685839265109,0.01815943695280498,0.6390840182636496,0.011007564402030292,0.6284377637596619,0.011134243006317632,0.6390840182636496,0.011007564402030292,0.6283584031017553,0.010172967920693488,0.659378689176245,0.015646034431019702
